MMD,mp-value,mAP p-value,# replicates,n_controls,features_differ,n_feats,k-means
0.25,0.47,0.97,3,36,10,1000,0.02
0.31,0.58,1.0,3,36,20,1000,0.63
0.32,0.89,1.0,3,36,30,1000,1.0
0.33,0.92,1.0,3,36,40,1000,1.0
0.33,0.99,1.0,3,36,50,1000,1.0
0.33,1.0,1.0,3,36,60,1000,1.0
0.33,1.0,1.0,3,36,70,1000,1.0
0.33,1.0,1.0,3,36,80,1000,1.0
0.33,1.0,1.0,3,36,90,1000,1.0
0.33,1.0,1.0,3,36,100,1000,1.0
0.04,0.02,0.04,4,12,1,1000,0.0
0.87,0.04,1.0,4,12,10,1000,0.37
1.0,0.17,1.0,4,12,20,1000,0.94
1.0,0.28,1.0,4,12,30,1000,1.0
1.0,0.47,1.0,4,12,40,1000,1.0
1.0,0.69,1.0,4,12,50,1000,1.0
1.0,0.8,1.0,4,12,60,1000,1.0
1.0,0.93,1.0,4,12,70,1000,1.0
1.0,0.9,1.0,4,12,80,1000,1.0
1.0,0.99,1.0,4,12,90,1000,1.0
1.0,0.97,1.0,4,12,100,1000,1.0
0.03,0.05,0.05,4,24,1,1000,0.0
0.27,0.24,1.0,4,24,10,1000,0.2
0.44,0.37,1.0,4,24,20,1000,0.98
0.49,0.53,1.0,4,24,30,1000,1.0
0.49,0.64,1.0,4,24,40,1000,1.0
0.49,0.7,1.0,4,24,50,1000,1.0
0.49,0.69,1.0,4,24,60,1000,1.0
0.49,0.82,1.0,4,24,70,1000,1.0
0.49,0.84,1.0,4,24,80,1000,1.0
0.49,0.9,1.0,4,24,90,1000,1.0
0.49,0.96,1.0,4,24,100,1000,1.0
0.06,0.07,0.09,4,36,1,1000,0.0
0.33,0.28,1.0,4,36,10,1000,0.03
0.41,0.67,1.0,4,36,20,1000,0.68
0.46,0.83,1.0,4,36,30,1000,1.0
0.46,0.86,1.0,4,36,40,1000,1.0
0.46,0.97,1.0,4,36,50,1000,1.0
0.46,1.0,1.0,4,36,60,1000,1.0
0.46,1.0,1.0,4,36,70,1000,1.0
0.46,1.0,1.0,4,36,80,1000,1.0
0.46,1.0,1.0,4,36,90,1000,1.0
0.46,1.0,1.0,4,36,100,1000,1.0
0.04,0.06,0.1,2,12,1,2500,0.01
0.23,0.0,0.99,2,12,10,2500,0.74
0.24,0.29,1.0,2,12,20,2500,1.0
0.24,0.35,1.0,2,12,30,2500,1.0
0.24,0.34,1.0,2,12,40,2500,1.0
0.24,0.35,1.0,2,12,50,2500,1.0
0.24,0.32,1.0,2,12,60,2500,1.0
0.24,0.36,1.0,2,12,70,2500,1.0
0.24,0.34,1.0,2,12,80,2500,1.0
0.24,0.36,1.0,2,12,90,2500,1.0
0.24,0.42,1.0,2,12,100,2500,1.0
0.09,0.07,0.15,2,24,1,2500,0.0
0.93,0.13,1.0,2,24,10,2500,0.79
1.0,0.16,1.0,2,24,20,2500,1.0
1.0,0.4,1.0,2,24,30,2500,1.0
1.0,0.61,1.0,2,24,40,2500,1.0
1.0,0.72,1.0,2,24,50,2500,1.0
1.0,0.83,1.0,2,24,60,2500,1.0
1.0,0.88,1.0,2,24,70,2500,1.0
1.0,0.94,1.0,2,24,80,2500,1.0
1.0,0.95,1.0,2,24,90,2500,1.0
1.0,0.98,1.0,2,24,100,2500,1.0
0.12,0.04,0.13,2,36,1,2500,0.0
0.32,0.24,1.0,2,36,10,2500,0.12
0.36,0.48,1.0,2,36,20,2500,0.87
0.36,0.47,1.0,2,36,30,2500,1.0
0.36,0.73,1.0,2,36,40,2500,1.0
0.36,0.77,1.0,2,36,50,2500,1.0
