Metadata_pert_name,mAP,p_value,corrected_p_value,below_p,p < 0.05,-log10(mAP p-value),Cell type,markers
BCL2L2-4,0.039952790933191144,0.39676032396760325,0.40485747343632983,False,False,0.3926978394872165,ES2,p>=0.05
BRAF-2,0.959404761904762,9.999000099990002e-05,0.0003333000033330001,True,True,3.477164681996525,ES2,p<0.05
BRAF1-1,0.49704287527528085,9.999000099990002e-05,0.0003333000033330001,True,True,3.477164681996525,ES2,p<0.05
BRCA1-1,0.19583521008667162,0.029197080291970802,0.05050342423384781,True,False,1.2966791748427515,ES2,p<0.05
BRCA1-2,0.07051545376469244,0.14528547145285473,0.16324210275601655,False,False,0.7871678196237539,ES2,p>=0.05
BRD4-1,0.38421488114665964,0.0004999500049995,0.0014284285857128574,True,True,2.8451414672911195,ES2,p<0.05
BRD4-2,0.6627527962898928,9.999000099990002e-05,0.0003333000033330001,True,True,3.477164681996525,ES2,p<0.05
CCND1-1,1.0,9.999000099990002e-05,0.0003333000033330001,True,True,3.477164681996525,ES2,p<0.05
CCND1-2,1.0,9.999000099990002e-05,0.0003333000033330001,True,True,3.477164681996525,ES2,p<0.05
CCNE1-1,0.2140391927224683,0.028197180281971802,0.05050342423384781,True,False,1.2966791748427515,ES2,p<0.05
CCNE1-2,0.14369215086821827,0.038696130386961305,0.058933500589335004,True,False,1.2296377614930236,ES2,p<0.05
CDK2-1,0.4106634481128097,0.00029997000299970003,0.0009090000090900001,True,True,3.0414361124350875,ES2,p<0.05
CDK2-2,0.9588095238095238,9.999000099990002e-05,0.0003333000033330001,True,True,3.477164681996525,ES2,p<0.05
CDK4-1,1.0,9.999000099990002e-05,0.0003333000033330001,True,True,3.477164681996525,ES2,p<0.05
CDK4-2,0.6938613988941121,9.999000099990002e-05,0.0003333000033330001,True,True,3.477164681996525,ES2,p<0.05
CDK4-3,0.7633373635619595,9.999000099990002e-05,0.0003333000033330001,True,True,3.477164681996525,ES2,p<0.05
